index,hospital_name,city,state,hospital_type,beds,rating,nabh,specialties,address,latitude,longitude,disease,treatment,treatment_cost_inr,beds_for_specific_disease,patients_on_disease_beds,patients_treated_well,patients_not_treated_well
15,GTB Hospital,Delhi,Delhi,Government,1800,4,Yes,General Medicine | Surgery | Trauma | Burns,"Dilshad Garden, New Delhi 110095",28.6508,77.175,Rabies,Post-exposure prophylaxis with wound care and vaccination,5100,88,72,66,6
16,Medanta Gurugram,Gurugram,Haryana,Private,1500,4.5,Yes,Cardiac Surgery | Liver Transplant | Neuroscience | Oncology | Robotic Surgery,"CH Baktawar Singh Road, Sector 38, Gurugram 122001",28.4337,77.0147,Measles,Supportive care with vitamin A supplementation,1700,99,87,77,10
17,Fortis Memorial Gurugram,Gurugram,Haryana,Private,1000,4.4,Yes,Oncology | Neurosciences | Orthopedics | Renal Sciences,"Sector 44, Gurugram 122002",28.4552,76.9836,Mumps,Supportive care with symptomatic management,8200,97,55,47,8
18,Artemis Hospital Gurugram,Gurugram,Haryana,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Gastroenterology | Kidney Transplant,"Sector 51, Gurugram 122001",28.4983,76.9939,Chickenpox,Antiviral and supportive care with symptomatic management,3400,36,33,31,2
19,Tata Memorial Hospital,Mumbai,Maharashtra,Government,629,4.7,Yes,Oncology | Surgical Oncology | Radiation Oncology,"Dr E Borges Road, Parel, Mumbai 400012",19.0332,72.8382,Viral fever,Supportive care with antipyretics and hydration,1800,29,24,22,2
20,Kokilaben Dhirubhai Ambani,Mumbai,Maharashtra,Private,750,4.5,Yes,Cardiac Sciences | Neuroscience | Oncology | Bone Marrow Transplant | Robotic Surgery,"Rao Saheb Achutrao Patwardhan Marg, Andheri West, Mumbai 400053",19.085,72.8733,Leptospirosis,Antibiotic therapy with supportive care and monitoring,10500,47,36,34,2
21,Lilavati Hospital,Mumbai,Maharashtra,Trust,314,4.5,Yes,Cardiology | Oncology | Neurology | Gastroenterology | Orthopedics,"A-791, Bandra Reclamation, Bandra West, Mumbai 400050",19.1165,72.8615,Scrub typhus,Antibiotic therapy with supportive care and monitoring,2600,18,16,15,1
22,Jaslok Hospital,Mumbai,Maharashtra,Trust,364,4.4,Yes,Cardiology | Oncology | Nephrology | Neurology | Transplant,"15, Dr Gopalrao Deshmukh Marg, Pedder Road, Mumbai 400026",19.0517,72.8827,Amoebiasis,Antiparasitic medication with hydration and dietary support,2700,37,32,31,1
23,Hinduja Hospital Mahim,Mumbai,Maharashtra,Trust,351,4.5,Yes,Cardiology | Gastroenterology | Nephrology | Neurology | Oncology,"Veer Savarkar Marg, Mahim West, Mumbai 400016",19.0804,72.8888,Giardiasis,Antiparasitic medication with supportive care,2000,19,16,14,2
24,KEM Hospital,Mumbai,Maharashtra,Government,1800,4.3,Yes,General Medicine | Surgery | Trauma | Burns | Paediatrics,"Acharya Donde Marg, Parel East, Mumbai 400012",19.1128,72.8968,Food poisoning,Supportive care with rehydration and antibiotics if indicated,1900,153,94,77,17
25,Nanavati Max Hospital,Mumbai,Maharashtra,Private,450,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Gastroenterology | Joint Replacement,"SV Road, Vile Parle West, Mumbai 400056",19.043,72.9225,Cardiac arrhythmia,Antiarrhythmic medication with pacemaker/ablation if indicated,358700,19,17,16,1
26,Bombay Hospital,Mumbai,Maharashtra,Trust,750,4.3,Yes,Cardiology | Gastroenterology | Neurology | Oncology | Orthopedics,"12, New Marine Lines, Mumbai 400020",19.0781,72.8894,Coronary artery disease,Medication with angioplasty/bypass surgery as indicated,253400,58,37,32,5
27,HN Reliance Foundation,Mumbai,Maharashtra,Trust,345,4.5,Yes,Oncology | Transplant | Cardiac Sciences | Neurology | IVF,"Raja Rammohan Roy Road, Prarthana Samaj, Girgaon, Mumbai 400004",19.0985,72.8393,Heart attack (Myocardial infarction),Emergency angioplasty/thrombolysis with cardiac rehabilitation,228000,13,9,8,1
28,Breach Candy Hospital,Mumbai,Maharashtra,Trust,190,4.4,Yes,Cardiology | Orthopedics | General Surgery | Internal Medicine,"60A, Bhulabhai Desai Road, Breach Candy, Mumbai 400026",19.0912,72.8705,Heart failure,Medication management with lifestyle modification and monitoring,18300,10,8,7,1
29,Wockhardt Hospital,Mumbai,Maharashtra,Private,350,4.2,Yes,Cardiac Sciences | Neurology | Spine | Minimal Invasive Surgery,"1877, Dr Anand Rao Nair Marg, Mumbai Central, Mumbai 400011",19.0731,72.9122,Hypertension,Antihypertensive medication and monitoring,2300,37,28,26,2
30,Hiranandani Hospital Powai,Mumbai,Maharashtra,Private,240,4.3,Yes,Orthopedics | Cardiac Sciences | Gastroenterology | Urology | Gynaecology,"Hill Side Avenue, Powai, Mumbai 400076",19.0494,72.888,Cardiomyopathy,Heart-failure medication with lifestyle management and monitoring,82900,8,6,5,1
31,Saifee Hospital,Mumbai,Maharashtra,Trust,210,4.3,Yes,Bariatric Surgery | Orthopedics | Cardiac Sciences | General Medicine,"15/17 Maharshi Karve Road, Charni Road, Mumbai 400004",19.0752,72.9173,Valvular heart disease,Medication with valve repair/replacement surgery if indicated,259900,10,6,5,1
32,Jupiter Hospital Thane,Mumbai,Maharashtra,Private,300,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Joint Replacement,"Eastern Express Highway, Thane 400601",19.0645,72.8815,Congenital heart disease,Corrective cardiac surgery with paediatric cardiology follow-up,278800,29,17,16,1
33,Apollo Navi Mumbai,Mumbai,Maharashtra,Private,260,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"Plot 13, Sector 23, CBD Belapur, Navi Mumbai 400614",19.074,72.8395,Rheumatic heart disease,Antibiotic prophylaxis with valve management/surgery if indicated,70500,8,5,4,1
34,Fortis Mulund,Mumbai,Maharashtra,Private,300,4.3,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Oncology,"Mulund Goregaon Link Road, Mulund West, Mumbai 400078",19.0639,72.841,Peripheral artery disease,Medication with angioplasty/bypass if indicated,55000,22,20,17,3
35,Global Hospital Mumbai,Mumbai,Maharashtra,Private,300,4.2,Yes,Liver Transplant | Kidney Transplant | Gastroenterology | Hepatology,"35 Dr E Borges Road, Hospital Avenue, Parel, Mumbai 400012",19.1064,72.8397,Deep vein thrombosis,Anticoagulant therapy with compression and monitoring,45300,19,11,10,1
36,Seven Hills Hospital,Mumbai,Maharashtra,Private,350,4.1,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | General Medicine,"Marol Maroshi Road, Andheri East, Mumbai 400059",19.1002,72.8761,Pulmonary embolism,Emergency anticoagulation with intensive monitoring,33200,19,12,11,1
37,Holy Spirit Hospital,Mumbai,Maharashtra,Trust,220,4.2,Yes,General Medicine | Orthopedics | Gynaecology | Paediatrics,"Mahakali Road, Andheri East, Mumbai 400093",19.0593,72.8453,Type 1 diabetes,Insulin therapy with dietary management and monitoring,18900,14,8,7,1
38,SL Raheja Mahim,Mumbai,Maharashtra,Private,200,4.1,Yes,Diabetology | Cardiac Sciences | Neurology | Orthopedics,"Raheja Rugnalaya Marg, Mahim West, Mumbai 400016",19.0825,72.8431,Type 2 diabetes,Medication and lifestyle management,21600,22,13,12,1
39,Apollo Greams Road,Chennai,Tamil Nadu,Private,710,4.6,Yes,Cardiology | Oncology | Transplant | Orthopedics | Neurology,"21 Greams Lane, Off Greams Road, Chennai 600006",13.0625,80.2925,Gestational diabetes,Dietary management with insulin therapy and monitoring,16200,85,55,48,7
40,CMC Vellore,Vellore,Tamil Nadu,Trust,2700,4.7,Yes,General Medicine | Oncology | Haematology | Nephrology | Neurology,"Ida Scudder Road, Vellore 632004",12.9123,79.1516,Prediabetes,Lifestyle modification with periodic blood-sugar monitoring,6700,149,119,101,18
41,Sankara Nethralaya,Chennai,Tamil Nadu,Trust,400,4.8,Yes,Ophthalmology | Retina | Glaucoma | Cornea,"18, College Road, Nungambakkam, Chennai 600006",13.0695,80.308,Diabetic foot,Wound care and debridement with vascular/infection management,25500,26,15,12,3
42,MIOT International,Chennai,Tamil Nadu,Private,600,4.5,Yes,Orthopedics | Joint Replacement | Spine | Sports Medicine | Cardiac Sciences,"4/112, Mount Poonamallee Road, Manapakkam, Chennai 600089",13.0969,80.235,Diabetic retinopathy,Laser photocoagulation/anti-VEGF injections with monitoring,29300,59,47,45,2
43,Fortis Malar Hospital,Chennai,Tamil Nadu,Private,180,4.3,Yes,Cardiac Sciences | Neurology | Gastroenterology | Kidney Transplant,"52 1st Main Road, Gandhi Nagar, Adyar, Chennai 600020",13.071,80.2987,Diabetic kidney disease,Blood-sugar and blood-pressure control with renal monitoring,114700,4,2,2,0
44,Madras Medical Mission,Chennai,Tamil Nadu,Trust,350,4.5,Yes,Cardiac Surgery | Cardiology | Paediatric Cardiac,"4-A, Dr J Jayalalithaa Nagar, Mogappair, Chennai 600037",13.079,80.2282,Obesity,Dietary and lifestyle programme with medical/surgical options if indicated,109600,31,27,21,6
45,Stanley Medical College Hospital,Chennai,Tamil Nadu,Government,1650,4.2,Yes,General Medicine | Surgery | Orthopedics | Trauma,"Old Jail Road, Royapuram, Chennai 600001",13.1024,80.2757,Metabolic syndrome,Lifestyle modification with medical management of risk factors,2100,81,74,61,13
46,Rajiv Gandhi GGH,Chennai,Tamil Nadu,Government,2400,4.1,Yes,General Medicine | Surgery | Trauma | Burns | Paediatrics,"Park Town, EVR Periyar Salai, Chennai 600003",13.0749,80.2783,Thyroid disorders,Hormone therapy with periodic thyroid-function monitoring,5000,260,149,137,12
47,Sri Ramachandra Hospital,Chennai,Tamil Nadu,Private,800,4.4,Yes,Cardiac Sciences | Neurology | Gastroenterology | Oncology | Transplant,"1, Ramachandra Nagar, Porur, Chennai 600116",13.1193,80.2331,Hypothyroidism,Thyroid hormone replacement with periodic monitoring,9500,73,64,61,3
48,Kauvery Hospital,Chennai,Tamil Nadu,Private,350,4.4,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Oncology,"199, Luz Church Road, Mylapore, Chennai 600004",13.0539,80.3092,Hyperthyroidism,Antithyroid medication with periodic thyroid-function monitoring,16400,39,26,22,4
49,MGM Healthcare,Chennai,Tamil Nadu,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Transplant | Oncology | Robotic Surgery,"72, Nelson Manickam Road, Aminjikarai, Chennai 600029",13.1044,80.3011,PCOS,Hormonal and lifestyle management with periodic monitoring,2500,32,25,20,5
50,Gleneagles Global Chennai,Chennai,Tamil Nadu,Private,1000,4.4,Yes,Transplant | Cardiac Sciences | Neurology | Oncology | Robotic Surgery,"439, Cheran Nagar, Perumbakkam, Chennai 600100",13.0757,80.3056,Chronic kidney disease,Medication and dietary management with regular dialysis where needed,19600,75,45,39,6
51,Global Hospital Chennai,Chennai,Tamil Nadu,Private,350,4.3,Yes,Liver Transplant | Gastroenterology | Hepatology | Kidney Transplant,"439, Cheran Nagar, Perumbakkam, Chennai 600100",13.0761,80.2761,End-stage renal disease,Regular dialysis with evaluation for kidney transplant,541000,11,10,9,1
52,Apollo Children's Hospital,Chennai,Tamil Nadu,Private,180,4.6,Yes,Paediatrics | Paediatric Surgery | Neonatology | PICU,"15, Shafee Mohammed Road, Thousand Lights, Chennai 600006",13.0948,80.2368,Kidney stones,Lithotripsy/surgical removal with pain management,87500,10,9,9,0
53,Billroth Hospitals,Chennai,Tamil Nadu,Private,300,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | IVF,"43, Lakshmi Talkies Road, Shenoy Nagar, Chennai 600030",13.0848,80.3078,Acute kidney injury,"Hospitalisation with fluid management, dialysis support if needed",80200,13,9,7,2
54,Vijaya Hospital,Chennai,Tamil Nadu,Private,300,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | General Medicine,"180, NSK Salai, Vadapalani, Chennai 600026",13.075,80.274,Urinary tract infection (UTI),Antibiotic therapy with hydration and hygiene counselling,2200,15,10,8,2
55,Dr. Mehta's Hospitals,Chennai,Tamil Nadu,Private,250,4.2,Yes,Orthopedics | Joint Replacement | Spine | Sports Medicine,"2, McNichols Road, Chetpet, Chennai 600031",13.0378,80.2506,Kidney infection,Antibiotic therapy with hydration and monitoring,10100,23,14,11,3
56,Prashanth Hospitals,Chennai,Tamil Nadu,Private,250,4.2,Yes,Gastroenterology | Hepatology | Liver Transplant | Renal Sciences,"Lloyds Road, Chennai 600014",13.046,80.2357,Glomerulonephritis,Immunosuppressive therapy with renal function monitoring,149200,15,12,9,3
57,Chettinad Hospital,Chennai,Tamil Nadu,Private,400,4.1,Yes,General Medicine | Surgery | Orthopedics | Cardiac Sciences | Neurology,"Rajiv Gandhi Salai, Kelambakkam, Chennai 603103",13.1015,80.2473,Nephrotic syndrome,Immunosuppressive therapy with renal monitoring,85600,41,32,26,6
58,Aravind Eye Hospital,Madurai,Tamil Nadu,Trust,500,4.7,Yes,Ophthalmology | Cataract | Retina | Glaucoma | Cornea,"1, Anna Nagar, Madurai 625020",9.9274,78.128,Prostate enlargement,Medication with surgical management (TURP) if indicated,47800,39,33,31,2
59,Narayana Health City,Bengaluru,Karnataka,Private,3200,4.5,Yes,Cardiology | Cardiac Surgery | Oncology | Nephrology | Transplant,"258/A, Bommasandra Industrial Area, Hosur Road, Bangalore 560099",12.9893,77.5901,Kidney cancer,Surgical resection with chemotherapy/targeted therapy as indicated,741300,311,239,187,52
60,NIMHANS,Bengaluru,Karnataka,Government,897,4.6,Yes,Psychiatry | Neurology | Neurosurgery | Clinical Psychology,"Hosur Road, Lakkasandra, Wilson Garden, Bangalore 560029",13.0126,77.5979,Asthma,Inhaled bronchodilators and corticosteroids with trigger management,7500,22,19,16,3
61,Manipal Hospital Old Airport Rd,Bengaluru,Karnataka,Private,650,4.4,Yes,Transplant | Oncology | Cardiology | Neurology | Gastroenterology,"98, HAL Old Airport Road, Kodihalli, Bangalore 560017",12.9881,77.6344,COPD,Inhaled bronchodilators/steroids with pulmonary rehabilitation,13600,14,13,10,3
62,Aster CMI Hospital,Bengaluru,Karnataka,Private,500,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Gastroenterology | Transplant,"43/2, NH-7, Hebbal Sahakar Nagar, Bangalore 560092",12.9314,77.5725,Bronchitis,Bronchodilators and antibiotics (if bacterial) with rest and hydration,3600,60,50,40,10
63,Fortis Bannerghatta,Bengaluru,Karnataka,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Transplant,"154/9, Bannerghatta Road, Opp IIM, Bangalore 560076",12.9544,77.6015,Pulmonary fibrosis,Antifibrotic medication with pulmonary rehabilitation,178300,28,17,16,1
64,Apollo Bannerghatta,Bengaluru,Karnataka,Private,300,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Robotic Surgery,"154/11, Bannerghatta Road, Opp IIM, Bangalore 560076",12.9799,77.5645,Lung cancer,Surgery/chemotherapy/radiotherapy as per oncology protocol,255100,24,18,17,1
65,Sakra World Hospital,Bengaluru,Karnataka,Private,300,4.3,Yes,Orthopedics | Cardiac Sciences | Neurology | Oncology | Gastroenterology,"SY No 52/2 & 52/3, Devarabeesanahalli, Marathahalli, Bangalore 560103",12.9478,77.5506,Sleep apnea,CPAP therapy with lifestyle modification,26400,30,28,22,6
66,Jayadeva Institute,Bengaluru,Karnataka,Government,700,4.5,Yes,Cardiology | Cardiac Surgery | Paediatric Cardiac,"Bannerghatta Road, Jayanagar 9th Block, Bangalore 560069",13.0134,77.6342,Respiratory infections,Antibiotics/antivirals with supportive care,1300,64,37,30,7
67,Kidwai Memorial Hospital,Bengaluru,Karnataka,Government,650,4.2,Yes,Oncology | Surgical Oncology | Radiation Oncology,"Dr MH Marigowda Road, Bangalore 560029",13.0117,77.5747,Pulmonary hypertension,Vasodilator therapy with cardiology/pulmonology follow-up,115100,72,42,36,6
68,St. Johns Medical College,Bengaluru,Karnataka,Trust,1250,4.4,Yes,General Medicine | Surgery | Paediatrics | Cardiac Sciences | Oncology,"Sarjapur Road, John Nagar, Koramangala, Bangalore 560034",13.003,77.5656,Stroke,Emergency thrombolysis/clot management with rehabilitation,186000,73,48,46,2
69,HCG Cancer Centre,Bengaluru,Karnataka,Private,200,4.5,Yes,Oncology | Radiation Oncology | Bone Marrow Transplant | Surgical Oncology,"HCG Tower, 8, P Kalinga Rao Road, Sampangi Rama Nagar, Bangalore 560027",12.9691,77.5942,Epilepsy,Anti-epileptic medication with neurology follow-up,18000,20,12,10,2
70,BGS Gleneagles,Bengaluru,Karnataka,Private,500,4.3,Yes,Cardiac Sciences | Neurology | Orthopedics | Oncology | Gastroenterology,"67, Uttarahalli Road, Kengeri, Bangalore 560060",13.0023,77.6338,Migraine,Analgesics/prophylactic medication with trigger management,13800,24,14,12,2
71,MS Ramaiah Memorial,Bengaluru,Karnataka,Private,800,4.3,Yes,General Medicine | Surgery | Cardiac Sciences | Neurology | Oncology,"MSR Nagar, Mathikere, Bangalore 560054",12.9384,77.6305,Parkinson's disease,Dopaminergic medication with physiotherapy and monitoring,31100,69,40,31,9
72,Mazumdar Shaw Medical Centre,Bengaluru,Karnataka,Trust,1400,4.5,Yes,Oncology | Bone Marrow Transplant | Cardiac Sciences | Neurology | Transplant,"258/A, Bommasandra Industrial Area, Bangalore 560099",12.9544,77.6163,Alzheimer's disease,Cognitive-enhancing medication with long-term caregiving support,11600,157,94,76,18
73,Sparsh Hospital,Bengaluru,Karnataka,Private,200,4.3,Yes,Orthopedics | Joint Replacement | Spine | Sports Medicine | Trauma,"146, Infantry Road, Bangalore 560001",12.9683,77.5902,Dementia,Supportive medication with cognitive therapy and caregiver support,32400,22,20,19,1
74,Columbia Asia Whitefield,Bengaluru,Karnataka,Private,150,4.2,Yes,General Medicine | Orthopedics | Gastroenterology | Gynaecology | Paediatrics,"Survey No 10P & 12P, Ramagondanahalli, Whitefield, Bangalore 560066",12.9934,77.6079,Multiple sclerosis,Disease-modifying therapy with neurology follow-up,32900,13,8,8,0
75,Vikram Hospital,Bengaluru,Karnataka,Private,200,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Renal Sciences,"71/1, Millers Road, Vasanth Nagar, Bangalore 560052",12.9703,77.6261,Meningitis,Emergency antibiotic/antiviral therapy with intensive monitoring,217800,20,16,14,2
76,Sagar Hospitals,Bengaluru,Karnataka,Private,250,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Oncology,"Shavige Malleshwara Hills, Kumaraswamy Layout, Bangalore 560078",12.9389,77.6021,Encephalitis,Hospitalisation with antiviral/supportive neuro-critical care,61700,19,16,13,3
77,Bangalore Baptist Hospital,Bengaluru,Karnataka,Trust,400,4.3,Yes,General Medicine | Surgery | Orthopedics | Gynaecology | Paediatrics,"Bellary Road, Hebbal, Bangalore 560024",12.9575,77.5964,Neuropathy,Symptomatic medication with management of underlying cause,17400,23,18,17,1
78,Ramaiah Narayana Heart Centre,Bengaluru,Karnataka,Private,250,4.4,Yes,Cardiac Surgery | Cardiology | Vascular Surgery,"MSR Nagar, MSRIT Post, Bangalore 560054",12.9558,77.5671,Brain tumor,Neurosurgical evaluation with tumour resection and adjuvant therapy,793600,15,13,11,2
79,AMRI Hospital Salt Lake,Kolkata,West Bengal,Private,450,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Orthopedics | Gastroenterology,"JC-16 & 17, Salt Lake City, Sector III, Kolkata 700098",22.5546,88.3915,Appendicitis,Surgical appendectomy with post-operative care,53700,22,16,15,1
80,Fortis Anandapur,Kolkata,West Bengal,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Oncology | Renal Sciences | Transplant,"730 EM Bypass, Anandapur, Kolkata 700107",22.5425,88.3658,Gastritis,Acid-suppressing medication with dietary modification,4400,28,23,21,2
81,Apollo Gleneagles Kolkata,Kolkata,West Bengal,Private,510,4.4,Yes,Cardiac Sciences | Neurology | Oncology | Transplant | Gastroenterology,"58, Canal Circular Road, Kadapara, Kolkata 700054",22.5649,88.3407,Gastroenteritis,Rehydration therapy with dietary management,5400,29,25,24,1
82,Medica Superspecialty,Kolkata,West Bengal,Private,400,4.3,Yes,Cardiac Sciences | Neurology | Transplant | Oncology | Orthopedics,"127 Mukundapur, EM Bypass, Kolkata 700099",22.5679,88.345,Acid reflux (GERD),Proton-pump inhibitors with dietary and lifestyle modification,2900,22,12,11,1
83,Tata Medical Center,Kolkata,West Bengal,Trust,460,4.6,Yes,Oncology | Bone Marrow Transplant | Surgical Oncology | Paediatric Oncology,"14 MAR (E-W), New Town, Rajarhat, Kolkata 700160",22.5973,88.3639,Peptic ulcer,Acid-suppressing medication with H. pylori eradication if indicated,3400,45,37,35,2
84,BM Birla Heart Research,Kolkata,West Bengal,Private,200,4.5,Yes,Cardiology | Cardiac Surgery | Vascular Surgery | Paediatric Cardiac,"1/1 National Library Avenue, Alipore, Kolkata 700027",22.5993,88.3561,Irritable bowel syndrome (IBS),Dietary modification with symptomatic medication,2100,21,16,13,3
85,Peerless Hospital,Kolkata,West Bengal,Private,350,4.2,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Renal Sciences,"360 Panchasayar, Kolkata 700094",22.5746,88.3219,Inflammatory bowel disease (IBD),Anti-inflammatory/immunosuppressive therapy with dietary management,76400,30,18,16,2
86,Woodlands Hospital,Kolkata,West Bengal,Private,350,4.2,Yes,Cardiac Sciences | Neurology | Gastroenterology | General Medicine | Gynaecology,"8/5 Alipore Road, Kolkata 700027",22.5691,88.3511,Crohn's disease,Anti-inflammatory/immunosuppressive therapy with dietary management,62700,36,22,21,1
87,SSKM Hospital,Kolkata,West Bengal,Government,2000,4.2,Yes,General Medicine | Surgery | Trauma | Burns | Paediatrics,"244 AJC Bose Road, Bhowanipore, Kolkata 700020",22.5976,88.3618,Ulcerative colitis,Anti-inflammatory/immunosuppressive therapy with dietary management,31800,148,106,87,19
88,RN Tagore International,Kolkata,West Bengal,Private,300,4.3,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Oncology,"Premises 1489, Mukundapur, EM Bypass, Kolkata 700099",22.6075,88.3485,Gallstones,Laparoscopic cholecystectomy with post-operative recovery,93100,7,4,3,1
89,Belle Vue Clinic,Kolkata,West Bengal,Private,180,4.3,Yes,General Medicine | Cardiac Sciences | Neurology | Gastroenterology | Gynaecology,"9 Dr UN Brahmachari Street, Kolkata 700017",22.5883,88.349,Pancreatitis,Hospitalisation with fluid management and dietary modification,131200,18,10,9,1
90,Ruby General Hospital,Kolkata,West Bengal,Private,350,4.2,Yes,Cardiac Sciences | Neurology | Orthopedics | Oncology | Gastroenterology,"576 Anandapur, EM Bypass, Kolkata 700107",22.5996,88.3579,Fatty liver disease,Lifestyle modification with medical management of risk factors,9100,8,6,5,1
91,Narayana Multispeciality Howrah,Kolkata,West Bengal,Private,300,4.3,Yes,Cardiac Sciences | Neurology | Orthopedics | Gastroenterology | Paediatrics,"120/1 Andul Road, Howrah 711103",22.6121,88.3948,Cirrhosis,Medical management of complications with liver-function monitoring,200100,16,14,11,3
92,CMRI Kolkata,Kolkata,West Bengal,Private,300,4.2,Yes,Cardiac Sciences | Neurology | Gastroenterology | Orthopedics | Urology,"7/2 Diamond Harbour Road, Alipore, Kolkata 700027",22.5313,88.3354,Liver cancer,Surgical resection/transplant with chemotherapy as indicated,629000,16,11,11,0
